Age,All_Both,All_Male,All_Female,White_Both,White_Male,White_Female,Black_Both,Black_Male,Black_Female,Hispanic_Both,Hispanic_Male,Hispanic_Female,NonHisp_White_Both,NonHisp_White_Male,NonHisp_White_Female,NonHisp_Black_Both,NonHisp_Black_Male,NonHisp_Black_Female
0,78.8,76.4,81.2,79.1,76.7,81.4,75.5,72.3,78.4,81.6,79.1,83.8,78.9,76.5,81.2,75.1,71.8,78.1
1,78.3,75.9,80.6,78.5,76.1,80.7,75.4,72.2,78.2,81,78.5,83.2,78.3,76,80.5,75,71.7,77.9
2,77.3,74.9,79.6,77.5,75.1,79.7,74.4,71.2,77.2,80.0,77.5,82.2,77.3,75.0,79.5,74.0,70.8,76.9
3,76.4,74.0,78.7,76.5,74.2,78.8,73.5,70.3,76.3,79.1,76.6,81.3,76.3,74.1,78.6,73.1,69.8,76.0
4,75.4,73.0,77.7,75.5,73.2,77.8,72.5,69.3,75.3,78.1,75.6,80.3,75.3,73.1,77.6,72.1,68.9,75.0
5,74.4,72,76.7,74.5,72.2,76.8,71.5,68.3,74.3,77.1,74.6,79.3,74.3,72.1,76.6,71.1,67.9,74
6,73.2,70.8,75.5,73.3,71.0,75.6,70.3,67.1,73.1,75.9,73.4,78.1,73.1,70.9,75.4,69.9,66.7,72.8
7,71.9,69.6,74.2,72.1,69.8,74.3,69.0,65.9,71.9,74.6,72.1,76.8,71.9,69.6,74.1,68.6,65.4,71.6
8,70.7,68.3,73.0,70.8,68.5,73.1,67.8,64.6,70.6,73.4,70.9,75.6,70.6,68.4,72.9,67.4,64.2,70.3
9,69.4,67.1,71.7,69.6,67.3,71.8,66.5,63.4,69.4,72.1,69.6,74.3,69.4,67.1,71.6,66.1,62.9,69.1
10,69.4,67.1,71.7,69.6,67.3,71.8,66.5,63.4,69.4,72.1,69.6,74.3,69.4,67.1,71.6,66.1,62.9,69.1
11,68.2,65.9,70.5,68.4,66.1,70.6,65.3,62.2,68.2,70.9,68.4,73.1,68.2,65.9,70.4,64.9,61.7,67.9
